Portfile	Stratum	Before	After	Seconds
sysutils/smartmontools/Portfile	forge-complex	unsupported	input-found	0.768
devel/libimobiledevice/Portfile	forge-complex	input-found	input-found	0.594
graphics/Aseprite/Portfile	forge-complex	unsupported	unsupported	1.777
devel/libimobiledevice-glue/Portfile	forge-complex	input-found	input-found	0.571
multimedia/mythtv.27/Portfile	forge-complex	unsupported	unsupported	2.652
aqua/squirrel-ime/Portfile	forge-complex	unsupported	unsupported	0.583
python/py-memprof/Portfile	forge-complex	unsupported	unsupported	0.658
lisp/cl-drakma/Portfile	forge-complex	input-found	input-found	0.626
devel/poco/Portfile	forge-complex	unsupported	input-found	0.921
sysutils/gfxutil/Portfile	forge-complex	input-found	input-found	0.768
science/demeter/Portfile	forge-complex	input-found	input-found	0.897
devel/ziggity/Portfile	forge-complex	input-found	input-found	1.824
audio/portaudio/Portfile	forge-complex	input-found	input-found	1.089
devel/aqbanking6/Portfile	forge-complex	input-found	input-found	0.673
devel/love-0.7/Portfile	forge-complex	unsupported	input-found	1.403
devel/usbmuxd/Portfile	forge-complex	input-found	input-found	0.650
games/widelands/Portfile	forge-complex	unsupported	input-found	1.171
java/java_memcached/Portfile	forge-complex	unsupported	unsupported	0.655
aqua/iTerm2/Portfile	forge-complex	unsupported	input-found	3.719
lang/mrustc/Portfile	forge-complex	input-found	unknown	1.712
science/liquid-dsp/Portfile	forge-complex	input-found	input-found	1.029
science/gr-baz/Portfile	forge-complex	input-found	input-found	1.127
editors/mindforger/Portfile	forge-complex	unsupported	unsupported	0.597
science/libfec/Portfile	forge-complex	input-found	input-found	0.916
devel/mpir/Portfile	forge-complex	unsupported	input-found	3.386
python/py-triangle/Portfile	forge-complex	unsupported	unsupported	0.672
llm/codex/Portfile	forge-complex	unsupported	unsupported	0.827
gnome/keybinder/Portfile	forge-complex	input-found	input-found	1.224
mail/trojita/Portfile	forge-complex	unsupported	unknown	1.675
sysutils/fontmatrix/Portfile	forge-complex	unsupported	unknown	1.398
java/openjdk11/Portfile	forge-complex	unknown	unknown	1.781
devel/qjson/Portfile	forge-complex	input-found	input-found	0.633
lisp/cl-named-readtables/Portfile	forge-complex	input-found	input-found	0.837
devel/libusb/Portfile	forge-complex	unsupported	input-found	1.248
lua/lua-luahpdf/Portfile	forge-complex	unsupported	unsupported	1.027
science/gr-ieee802-15-4/Portfile	forge-complex	unsupported	unknown	0.617
devel/tinyobjloader/Portfile	forge-complex	input-found	input-found	0.623
lisp/cl-webengine/Portfile	forge-complex	input-found	input-found	0.775
devel/sourcekittendaemon/Portfile	forge-complex	unsupported	unsupported	0.618
devel/zmq/Portfile	forge-complex	unsupported	input-found	1.707
aqua/abendrot/Portfile	forge-complex	input-found	input-found	1.512
multimedia/mpv-legacy/Portfile	forge-complex	input-found	input-found	5.122
devel/notcurses/Portfile	forge-complex	input-found	input-found	0.685
graphics/MoltenVK/Portfile	forge-complex	unsupported	unsupported	1.800
sysutils/extfstools/Portfile	forge-complex	unsupported	input-found	1.637
www/edbrowse/Portfile	forge-complex	input-found	input-found	0.766
devel/bun/Portfile	forge-complex	unsupported	input-found	3.368
shells/tcsh/Portfile	forge-complex	input-found	input-found	0.583
www/yuicompressor/Portfile	forge-complex	unsupported	unsupported	0.608
sysutils/pwait/Portfile	forge-complex	input-found	input-found	0.975
