Portfile	Stratum	Before	After	Reason
sysutils/smartmontools/Portfile	forge-complex	input-found	input-found	
devel/libimobiledevice/Portfile	forge-complex	input-found	input-found	
graphics/Aseprite/Portfile	forge-complex	unsupported	unsupported	fetch: portfile: unsupported source edit: MacPorts Base 2.12.6: post-fetch hooks can modify archive preparation; prepare this port manually
devel/libimobiledevice-glue/Portfile	forge-complex	input-found	input-found	
multimedia/mythtv.27/Portfile	forge-complex	unsupported	unknown	fetch: portedit: version probe is inconclusive: modeled context depends on host state: filesystem state outside the captured ports tree (Portfile:5)
aqua/squirrel-ime/Portfile	forge-complex	unsupported	input-found	
python/py-memprof/Portfile	forge-complex	unsupported	input-found	
lisp/cl-drakma/Portfile	forge-complex	input-found	input-found	
devel/poco/Portfile	forge-complex	input-found	input-found	
sysutils/gfxutil/Portfile	forge-complex	input-found	input-found	
science/demeter/Portfile	forge-complex	input-found	input-found	
devel/ziggity/Portfile	forge-complex	input-found	input-found	
audio/portaudio/Portfile	forge-complex	input-found	input-found	
devel/aqbanking6/Portfile	forge-complex	input-found	unknown	fetch: portedit: version probe is inconclusive: modeled context depends on host state: filesystem state outside the captured ports tree (Portfile:53)
devel/love-0.7/Portfile	forge-complex	input-found	input-found	
devel/usbmuxd/Portfile	forge-complex	input-found	input-found	
games/widelands/Portfile	forge-complex	input-found	input-found	
java/java_memcached/Portfile	forge-complex	unsupported	input-found	
aqua/iTerm2/Portfile	forge-complex	input-found	input-found	
lang/mrustc/Portfile	forge-complex	unknown	input-found	
science/liquid-dsp/Portfile	forge-complex	input-found	input-found	
science/gr-baz/Portfile	forge-complex	input-found	input-found	
editors/mindforger/Portfile	forge-complex	unsupported	input-found	
science/libfec/Portfile	forge-complex	input-found	input-found	
devel/mpir/Portfile	forge-complex	input-found	input-found	
python/py-triangle/Portfile	forge-complex	unsupported	input-found	
llm/codex/Portfile	forge-complex	unsupported	input-found	
gnome/keybinder/Portfile	forge-complex	input-found	input-found	
mail/trojita/Portfile	forge-complex	unknown	unknown	fetch: portedit: version probe is inconclusive: modeled context depends on host state: filesystem state outside the captured ports tree (Portfile:17); filesystem state outside the captured ports tree
sysutils/fontmatrix/Portfile	forge-complex	unknown	unknown	fetch: portedit: version probe is inconclusive: modeled context depends on host state: filesystem state outside the captured ports tree (Portfile:8); filesystem state outside the captured ports tree
java/openjdk11/Portfile	forge-complex	unknown	unknown	version-input: portfile: unsupported source edit: portedit: version probe is inconclusive: no editable version input established (1 candidate evaluations were inconclusive)
devel/qjson/Portfile	forge-complex	input-found	unknown	fetch: portedit: version probe is inconclusive: modeled context depends on host state: filesystem state outside the captured ports tree (Portfile:7)
lisp/cl-named-readtables/Portfile	forge-complex	input-found	input-found	
devel/libusb/Portfile	forge-complex	input-found	input-found	
lua/lua-luahpdf/Portfile	forge-complex	unsupported	unsupported	fetch: portfile: unsupported source edit: no source archives; select a release subport if this is a metaport
