experiment,operation,completed,sources,worker,sample,error,phase,count,total_ms,min_ms,max_ms
diagnostic-contention,read,100,100,5,1,,git:for-each-ref,1,6.710416,6.710416,6.710416
diagnostic-contention,read,100,100,5,1,,git:cat-file,2,13.833625000000001,6.609708,7.223917
diagnostic-contention,read,100,100,5,1,,git:ls-tree,1,6.840667,6.840667,6.840667
diagnostic-contention,read,100,100,5,2,,git:for-each-ref,1,6.887834,6.887834,6.887834
diagnostic-contention,read,100,100,5,2,,git:cat-file,2,13.516083,5.696458,7.819625
diagnostic-contention,read,100,100,5,2,,git:ls-tree,1,5.813333,5.813333,5.813333
diagnostic-contention,read,100,100,5,3,,git:for-each-ref,1,6.07475,6.07475,6.07475
diagnostic-contention,read,100,100,5,3,,git:cat-file,2,14.089541,6.933958,7.155583
diagnostic-contention,read,100,100,5,3,,git:ls-tree,1,6.519291,6.519291,6.519291
diagnostic-contention,read,100,100,5,4,,git:for-each-ref,1,5.327459,5.327459,5.327459
diagnostic-contention,read,100,100,5,4,,git:cat-file,2,13.757708000000001,6.330166,7.427542
diagnostic-contention,read,100,100,5,4,,git:ls-tree,1,6.991291,6.991291,6.991291
diagnostic-contention,edit,100,100,2,1,,lock-wait,1,0.08675,0.08675,0.08675
diagnostic-contention,edit,100,100,2,1,,git:for-each-ref,2,15.857,6.498958,9.358042
diagnostic-contention,edit,100,100,2,1,,git:cat-file,4,25.736041,5.715125,7.292458
diagnostic-contention,edit,100,100,2,1,,git:ls-tree,1,6.755375,6.755375,6.755375
diagnostic-contention,edit,100,100,2,1,,read,1,29.095417,29.095417,29.095417
diagnostic-contention,edit,100,100,2,1,,encode-before,1,0.976166,0.976166,0.976166
diagnostic-contention,edit,100,100,2,1,,encode-after,1,0.501917,0.501917,0.501917
diagnostic-contention,edit,100,100,2,1,,pins,1,22.083166,22.083166,22.083166
diagnostic-contention,edit,100,100,2,1,,git:hash-object,1,13.441708,13.441708,13.441708
diagnostic-contention,edit,100,100,2,1,,git:mktree,1,6.409916,6.409916,6.409916
diagnostic-contention,edit,100,100,2,1,,git:commit-tree,1,10.10575,10.10575,10.10575
diagnostic-contention,edit,100,100,2,1,,git:update-ref,1,44.252875,44.252875,44.252875
