operation,completed,sources,active,history,packed,writers,readers,experiment,samples,successes,errors,median_ms,min_ms,max_ms,median_allocated_bytes,failure_ms,error_messages
cycle-all,10,1,1,0,False,0,0,active-all,3,3,0,228.832625,225.457125,236.603708,2430888,,
cycle-all,100,1,1,0,False,0,0,active-all,3,3,0,242.07475,241.612,243.837625,15986488,,
observe,100,1,10,0,False,0,0,active-ten,3,3,0,1935.090833,1925.508792,1949.520375,122436952,,
observe,100,100,10,0,False,0,0,active-ten,3,3,0,2601.849083,2575.563208,2698.11375,135157320,,
read,100,100,1,0,False,1,1,contention-1,10,10,0,28.530874500000003,26.34275,30.2895,2655832.0,,
edit,100,100,1,0,False,1,1,contention-1,10,10,0,125.6545625,123.897541,128.29925,5849420.0,,
read,1000,1000,1,0,False,2,1,contention-1000,4,4,0,47.268396,46.771625,47.740958,22214428.0,,
edit,1000,1000,1,0,False,2,1,contention-1000,8,8,0,496.5095,480.684458,2442.625708,62454188.0,,
read,100,100,1,0,False,2,1,contention-2,10,10,0,28.393250000000002,25.729458,29.334875,2657260.0,,
edit,100,100,1,0,False,2,1,contention-2,20,20,0,125.72660450000001,120.245958,1400.988917,5850180.0,,
read,100,100,1,0,False,4,1,contention-4,10,10,0,27.862063,25.670084,28.736417,2656832.0,,
edit,100,100,1,0,False,4,1,contention-4,40,40,0,126.679167,118.903,2398.911459,5850780.0,,
read,100,100,1,0,False,4,1,diagnostic-contention,5,5,0,29.132416,27.672541,32.349375,2660080,,
edit,100,100,1,0,False,4,1,diagnostic-contention,20,20,0,126.7877705,120.671709,2125.488875,5860308.0,,
noop,1000,1000,1,0,False,0,0,diagnostic-distinct,1,1,0,127.116375,127.116375,127.116375,52910408,,
edit,1000,1000,1,0,False,0,0,diagnostic-distinct,1,1,0,495.375625,495.375625,495.375625,54065616,,
observe,1000,1000,1,0,False,0,0,diagnostic-distinct,1,1,0,1071.668,1071.668,1071.668,152643432,,
cycle-all,10,1,0,0,False,0,0,diagnostic-idle,1,1,0,25.776583,25.776583,25.776583,409136,,
cycle-all,10,10,0,0,False,0,0,diagnostic-idle,1,1,0,26.090291,26.090291,26.090291,406576,,
read,1000,1,1,0,False,0,0,diagnostic-shared,1,1,0,51.555,51.555,51.555,21934128,,
noop,1000,1,1,0,False,0,0,diagnostic-shared,1,1,0,84.33675,84.33675,84.33675,48432016,,
edit,1000,1,1,0,False,0,0,diagnostic-shared,1,1,0,145.474625,145.474625,145.474625,48498496,,
observe,1000,1,1,0,False,0,0,diagnostic-shared,1,1,0,373.080583,373.080583,373.080583,140919120,,
complete,1000,1,1,0,False,0,0,diagnostic-shared,1,1,0,697.827542,697.827542,697.827542,259781584,,
read,100,100,10,0,False,4,1,driver-contention-100,5,5,0,30.01675,27.925667,37.162292,2690464,,
cycle-all,100,100,10,0,False,4,1,driver-contention-100,20,13,7,4687.849917,1673.395375,6929.889833,124485656,5038.395;5027.261;5029.424;13645.573;5035.038;5030.350;8161.670,ledger: timed out waiting for writer lock: lock: timed out waiting for lock: /private/var/folders/l6/xhprvp0x6_q4239mpj1zp3_40000gn/T/dockhand-ledgerperf-3709967216/locks/repositories/a83a725d518b79c9f559fb04a96f473decb1665e133a3d5a188ff5c56a7059aa/ledger.lock: context deadline exceeded
read,1000,1000,4,0,False,2,1,driver-contention-1000,3,3,0,52.638917,47.09125,53.258792,22226936,,
cycle-all,1000,1000,4,0,False,2,1,driver-contention-1000,6,6,0,6899.395854,3473.534041,10140.3995,441996816.0,,
cycle-all,10,10,0,0,False,0,0,idle-distinct,3,3,0,26.015542,25.871791,26.1955,405784,,
cycle-all,100,100,0,0,False,0,0,idle-distinct,3,3,0,28.576875,26.802541,31.1105,2735176,,
cycle-all,100,1,0,0,False,0,0,idle-shared-100-complete,3,3,0,28.848,28.089417,30.245292,2712840,,
cycle-all,10,1,0,0,False,0,0,idle-shared,3,3,0,26.829,26.093292,29.071334,401920,,
cycle-all,100,1,0,0,False,0,0,idle-shared,3,3,0,28.241292,27.977334,28.580375,2713184,,
cycle-all,1000,1,0,0,False,0,0,idle-shared,3,3,0,45.92525,45.853833,46.752167,22841144,,
cycle-all,10000,1,0,0,False,0,0,idle-shared,3,3,0,208.561791,203.339083,226.1465,191406224,,
read,10,10,1,0,False,0,0,ledger-distinct,3,3,0,24.88725,24.387583,25.743542,398624,,
noop,10,10,1,0,False,0,0,ledger-distinct,3,3,0,46.420625,46.095,48.023375,615448,,
edit,10,10,1,0,False,0,0,ledger-distinct,3,3,0,93.558958,93.194791,95.880916,866440,,
new-revision,10,10,1,0,False,0,0,ledger-distinct,3,3,0,95.153958,92.673458,99.665042,866888,,
read,100,100,1,0,False,0,0,ledger-distinct,3,3,0,28.416375,28.152125,30.2935,2657240,,
noop,100,100,1,0,False,0,0,ledger-distinct,3,3,0,56.894542,53.485833,58.830875,5643248,,
edit,100,100,1,0,False,0,0,ledger-distinct,3,3,0,125.791041,124.9995,129.469917,5854136,,
new-revision,100,100,1,0,False,0,0,ledger-distinct,3,3,0,124.71825,120.074125,143.862416,5850752,,
read,1000,1000,1,0,False,0,0,ledger-distinct,3,3,0,44.703542,44.355875,45.741334,22211272,,
noop,1000,1000,1,0,False,0,0,ledger-distinct,3,3,0,124.2995,124.260417,125.141292,52880232,,
edit,1000,1000,1,0,False,0,0,ledger-distinct,3,3,0,485.779166,479.113667,495.516583,54047288,,
new-revision,1000,1000,1,0,False,0,0,ledger-distinct,3,3,0,488.716,467.636041,494.929209,54060888,,
read,10000,10000,1,0,False,0,0,ledger-distinct,3,3,0,210.604584,209.731042,218.337084,184741144,,
noop,10000,10000,1,0,False,0,0,ledger-distinct,3,3,0,921.60575,905.451333,922.633667,529061864,,
edit,10000,10000,1,0,False,0,0,ledger-distinct,3,3,0,4651.403875,4633.4115,4683.155375,538471088,,
new-revision,10000,10000,1,0,False,0,0,ledger-distinct,3,3,0,4646.652375,4616.592666,4716.813917,538468608,,
read,10,1,1,0,False,0,0,ledger-shared,5,5,0,29.598334,26.737417,35.931209,398520,,
noop,10,1,1,0,False,0,0,ledger-shared,5,5,0,50.14,44.85675,54.942625,733600,,
edit,10,1,1,0,False,0,0,ledger-shared,5,5,0,90.255458,87.573666,100.468708,813656,,
new-revision,10,1,1,0,False,0,0,ledger-shared,5,5,0,89.728833,87.950833,100.461,819408,,
status,10,1,1,0,False,0,0,ledger-shared,5,5,0,26.058459,24.542458,26.724583,438864,,
codec-encode,10,1,1,0,False,0,0,ledger-shared,5,5,0,0.107542,0.089125,0.126416,218744,,
codec-decode,10,1,1,0,False,0,0,ledger-shared,5,5,0,0.219209,0.178333,0.409333,190328,,
read,100,1,1,0,False,0,0,ledger-shared,5,5,0,28.751584,27.111666,32.606625,2633592,,
noop,100,1,1,0,False,0,0,ledger-shared,5,5,0,49.942,48.121375,50.498166,6773288,,
edit,100,1,1,0,False,0,0,ledger-shared,5,5,0,92.961791,89.394042,96.206667,5325232,,
new-revision,100,1,1,0,False,0,0,ledger-shared,5,5,0,96.353083,91.794708,113.84875,5321808,,
status,100,1,1,0,False,0,0,ledger-shared,5,5,0,28.762375,27.809042,35.401042,3016104,,
codec-encode,100,1,1,0,False,0,0,ledger-shared,5,5,0,0.702042,0.664125,0.998167,2036440,,
codec-decode,100,1,1,0,False,0,0,ledger-shared,5,5,0,1.29375,1.246583,1.397875,1509032,,
read,1000,1,1,0,False,0,0,ledger-shared,5,5,0,45.889125,43.604833,48.645167,21927864,,
noop,1000,1,1,0,False,0,0,ledger-shared,5,5,0,80.23425,77.3685,83.88175,65211416,,
edit,1000,1,1,0,False,0,0,ledger-shared,5,5,0,144.110875,136.512167,189.960709,65300568,,
new-revision,1000,1,1,0,False,0,0,ledger-shared,5,5,0,134.255959,126.946458,161.448834,65321048,,
status,1000,1,1,0,False,0,0,ledger-shared,5,5,0,46.374083,45.713791,47.086167,26095936,,
codec-encode,1000,1,1,0,False,0,0,ledger-shared,5,5,0,8.308125,7.752625,9.386083,21615232,,
codec-decode,1000,1,1,0,False,0,0,ledger-shared,5,5,0,13.547625,13.133875,14.243917,13462632,,
read,10000,1,1,0,False,0,0,ledger-shared,5,5,0,201.628,196.480834,204.568583,181856720,,
noop,10000,1,1,0,False,0,0,ledger-shared,5,5,0,378.2215,362.816333,387.685833,480994080,,
edit,10000,1,1,0,False,0,0,ledger-shared,5,5,0,572.315792,558.784167,594.79325,481087096,,
new-revision,10000,1,1,0,False,0,0,ledger-shared,5,5,0,478.609375,471.586917,606.252792,481086520,,
status,10000,1,1,0,False,0,0,ledger-shared,5,5,0,215.056,212.5285,217.915291,236376640,,
codec-encode,10000,1,1,0,False,0,0,ledger-shared,5,5,0,80.986667,80.336709,83.027875,250099752,,
codec-decode,10000,1,1,0,False,0,0,ledger-shared,5,5,0,136.419291,132.933583,141.558041,114666312,,
submit,1000,1000,1,0,False,0,0,workflow-distinct-1000,1,1,0,501.540666,501.540666,501.540666,54085096,,
observe,1000,1000,1,0,False,0,0,workflow-distinct-1000,1,1,0,1103.400042,1103.400042,1103.400042,152601720,,
complete,1000,1000,1,0,False,0,0,workflow-distinct-1000,1,1,0,2148.835542,2148.835542,2148.835542,282884952,,
submit,10,10,1,0,False,0,0,workflow-distinct,5,5,0,89.451167,88.360583,91.352,872816,,
observe,10,10,1,0,False,0,0,workflow-distinct,5,5,0,233.586791,225.103,248.447083,2514184,,
complete,10,10,1,0,False,0,0,workflow-distinct,5,5,0,450.199916,441.247333,467.676292,4474384,,
submit,100,100,1,0,False,0,0,workflow-distinct,5,5,0,126.560833,124.257,131.825458,5850208,,
observe,100,100,1,0,False,0,0,workflow-distinct,5,5,0,310.764459,303.28,314.890292,17013488,,
complete,100,100,1,0,False,0,0,workflow-distinct,5,5,0,591.058458,582.714084,598.229375,32887408,,
submit,10,1,1,0,False,0,0,workflow-shared,3,3,0,87.113375,84.678084,89.7275,823552,,
observe,10,1,1,0,False,0,0,workflow-shared,3,3,0,225.553416,223.862875,231.941917,2411272,,
complete,10,1,1,0,False,0,0,workflow-shared,3,3,0,437.291375,423.643625,440.245125,4429968,,
submit,100,1,1,0,False,0,0,workflow-shared,3,3,0,94.196375,91.2495,98.886083,5311936,,
observe,100,1,1,0,False,0,0,workflow-shared,3,3,0,242.871959,239.888542,244.291417,15902880,,
complete,100,1,1,0,False,0,0,workflow-shared,3,3,0,457.041958,456.423667,469.783958,29153248,,
submit,1000,1,1,0,False,0,0,workflow-shared,3,3,0,136.599375,134.502541,137.103334,48502536,,
observe,1000,1,1,0,False,0,0,workflow-shared,3,3,0,367.435709,357.687917,384.736583,140863728,,
complete,1000,1,1,0,False,0,0,workflow-shared,3,3,0,778.865792,704.548,900.012792,259730368,,
submit,10000,1,1,0,False,0,0,workflow-shared,3,3,0,560.155125,546.253916,611.866417,481068912,,
observe,10000,1,1,0,False,0,0,workflow-shared,3,3,0,1537.143666,1510.603209,1538.510833,1327172528,,
complete,10000,1,1,0,False,0,0,workflow-shared,3,3,0,2951.285625,2921.712375,3041.988792,2471141536,,
