experiment,operation,completed,sources,worker,sample,error,phase,count,total_ms,min_ms,max_ms
diagnostic-contention,read,100,100,5,1,,git:for-each-ref,1,6.951958,6.951958,6.951958
diagnostic-contention,read,100,100,5,1,,git:cat-file,2,14.078709,6.796292,7.282417
diagnostic-contention,read,100,100,5,1,,git:ls-tree,1,6.71775,6.71775,6.71775
diagnostic-contention,read,100,100,5,2,,git:for-each-ref,1,7.264334,7.264334,7.264334
diagnostic-contention,read,100,100,5,2,,git:cat-file,2,14.838999000000001,7.268166,7.570833
diagnostic-contention,read,100,100,5,2,,git:ls-tree,1,5.724208,5.724208,5.724208
diagnostic-contention,read,100,100,5,3,,git:for-each-ref,1,5.445625,5.445625,5.445625
diagnostic-contention,read,100,100,5,3,,git:cat-file,2,13.7915,6.873416,6.918084
diagnostic-contention,read,100,100,5,3,,git:ls-tree,1,6.046542,6.046542,6.046542
diagnostic-contention,read,100,100,5,4,,git:for-each-ref,1,6.843,6.843,6.843
diagnostic-contention,read,100,100,5,4,,git:cat-file,2,14.573501,7.199292,7.374209
diagnostic-contention,read,100,100,5,4,,git:ls-tree,1,6.367167,6.367167,6.367167
diagnostic-contention,edit,100,100,3,1,,lock-wait,1,0.099792,0.099792,0.099792
diagnostic-contention,edit,100,100,3,1,,git:for-each-ref,2,16.127624,6.739791,9.387833
diagnostic-contention,edit,100,100,3,1,,git:cat-file,4,29.120625000000004,6.829834,7.578583
diagnostic-contention,edit,100,100,3,1,,git:ls-tree,1,6.682584,6.682584,6.682584
diagnostic-contention,edit,100,100,3,1,,read,1,29.371917,29.371917,29.371917
diagnostic-contention,edit,100,100,3,1,,encode-before,1,0.985,0.985,0.985
diagnostic-contention,edit,100,100,3,1,,encode-after,1,0.503583,0.503583,0.503583
diagnostic-contention,edit,100,100,3,1,,pins,1,25.395166,25.395166,25.395166
diagnostic-contention,edit,100,100,3,1,,git:hash-object,1,14.687041,14.687041,14.687041
diagnostic-contention,edit,100,100,3,1,,git:mktree,1,7.084625,7.084625,7.084625
diagnostic-contention,edit,100,100,3,1,,git:commit-tree,1,11.217167,11.217167,11.217167
diagnostic-contention,edit,100,100,3,1,,git:update-ref,1,40.399917,40.399917,40.399917
diagnostic-contention,edit,100,100,3,1,,lock-held,1,130.018625,130.018625,130.018625
diagnostic-contention,read,100,100,5,5,,git:for-each-ref,1,6.965708,6.965708,6.965708
diagnostic-contention,read,100,100,5,5,,git:cat-file,2,12.809332,5.931291,6.878041
diagnostic-contention,read,100,100,5,5,,git:ls-tree,1,6.481166,6.481166,6.481166
diagnostic-contention,edit,100,100,2,1,,lock-wait,1,150.853959,150.853959,150.853959
