operation,completed,sources,active,history,packed,writers,readers,experiment,samples,successes,errors,median_ms,min_ms,max_ms,median_allocated_bytes,failure_ms,error_messages
cycle-all,10,1,1,0,False,0,0,active-all,3,3,0,226.660459,225.795666,234.144542,2454336,,
cycle-all,100,1,1,0,False,0,0,active-all,3,3,0,247.46225,244.388541,248.006084,15993816,,
observe,100,1,10,0,False,0,0,active-ten,3,3,0,1970.403333,1950.04675,1984.308792,120539272,,
observe,100,100,10,0,False,0,0,active-ten,3,3,0,2686.177792,2684.329417,2789.980042,139257624,,
read,100,100,1,0,False,1,1,contention-1,10,10,0,28.22475,25.721959,29.888084,2659400.0,,
edit,100,100,1,0,False,1,1,contention-1,10,10,0,126.9783335,124.327958,129.693209,5856592.0,,
read,1000,1000,1,0,False,2,1,contention-1000,4,4,0,52.0527505,46.208,56.394916,22217324.0,,
edit,1000,1000,1,0,False,2,1,contention-1000,8,8,0,1120.552021,508.846166,1333.855709,54053640.0,,
read,100,100,1,0,False,2,1,contention-2,10,10,0,30.459353999999998,28.034958,33.781917,2660764.0,,
edit,100,100,1,0,False,2,1,contention-2,20,20,0,283.00649999999996,133.155541,311.805083,5859496.0,,
read,100,100,1,0,False,4,1,contention-4,10,10,0,29.5717705,28.559833,32.150625,2657140.0,,
edit,100,100,1,0,False,4,1,contention-4,40,40,0,429.715959,136.264958,2208.38525,5854240.0,,
read,100,100,1,0,False,4,1,diagnostic-contention,5,5,0,29.601125,27.74875,30.327417,2665872,,
edit,100,100,1,0,False,4,1,diagnostic-contention,20,20,0,464.895104,130.253041,1536.153041,5864504.0,,
noop,1000,1000,1,0,False,0,0,diagnostic-distinct,1,1,0,127.495125,127.495125,127.495125,52924768,,
edit,1000,1000,1,0,False,0,0,diagnostic-distinct,1,1,0,510.016459,510.016459,510.016459,54073224,,
observe,1000,1000,1,0,False,0,0,diagnostic-distinct,1,1,0,1113.43125,1113.43125,1113.43125,152642472,,
cycle-all,10,1,0,0,False,0,0,diagnostic-idle,1,1,0,25.971583,25.971583,25.971583,406000,,
cycle-all,10,10,0,0,False,0,0,diagnostic-idle,1,1,0,27.965416,27.965416,27.965416,410272,,
read,1000,1,1,0,False,0,0,diagnostic-shared,1,1,0,56.734083,56.734083,56.734083,21941072,,
noop,1000,1,1,0,False,0,0,diagnostic-shared,1,1,0,89.744791,89.744791,89.744791,48428568,,
edit,1000,1,1,0,False,0,0,diagnostic-shared,1,1,0,173.551709,173.551709,173.551709,48501496,,
observe,1000,1,1,0,False,0,0,diagnostic-shared,1,1,0,392.761958,392.761958,392.761958,140917456,,
complete,1000,1,1,0,False,0,0,diagnostic-shared,1,1,0,826.089625,826.089625,826.089625,242986568,,
read,100,100,10,0,False,4,1,driver-contention-100,5,5,0,28.407792,28.187292,34.865708,2689584,,
cycle-all,100,100,10,0,False,4,1,driver-contention-100,20,20,0,5752.33775,3508.312417,10883.1105,87963788.0,,
read,1000,1000,4,0,False,2,1,driver-contention-1000,3,3,0,51.250167,49.575458,51.661375,22226528,,
cycle-all,1000,1000,4,0,False,2,1,driver-contention-1000,6,6,0,4612.238562500001,4130.260209,5470.172958,367489584.0,,
cycle-all,10,10,0,0,False,0,0,idle-distinct,3,3,0,26.877667,25.990417,27.197292,404456,,
cycle-all,100,100,0,0,False,0,0,idle-distinct,3,3,0,28.261666,28.180333,28.731458,2736904,,
cycle-all,100,1,0,0,False,0,0,idle-shared-100-complete,3,3,0,28.191042,27.93875,29.506458,2714712,,
cycle-all,10,1,0,0,False,0,0,idle-shared,3,3,0,26.106042,25.930791,26.724,398256,,
cycle-all,100,1,0,0,False,0,0,idle-shared,3,3,0,28.047833,27.759334,29.008333,2713696,,
cycle-all,1000,1,0,0,False,0,0,idle-shared,3,3,0,46.088833,45.849458,46.903417,22841848,,
cycle-all,10000,1,0,0,False,0,0,idle-shared,3,3,0,214.757958,214.636542,219.226875,191407792,,
read,10,10,1,0,False,0,0,ledger-distinct,3,3,0,26.050042,24.653375,26.161041,398680,,
noop,10,10,1,0,False,0,0,ledger-distinct,3,3,0,48.417083,46.054917,51.265541,768696,,
edit,10,10,1,0,False,0,0,ledger-distinct,3,3,0,95.184375,89.740583,99.277167,870056,,
new-revision,10,10,1,0,False,0,0,ledger-distinct,3,3,0,152.288875,101.262416,179.378875,871304,,
read,100,100,1,0,False,0,0,ledger-distinct,3,3,0,24.273,23.740541,26.379125,2658248,,
noop,100,100,1,0,False,0,0,ledger-distinct,3,3,0,100.209042,80.79675,616.858583,5649096,,
edit,100,100,1,0,False,0,0,ledger-distinct,3,3,0,230.747917,172.999083,309.826333,5854728,,
new-revision,100,100,1,0,False,0,0,ledger-distinct,3,3,0,131.463833,126.45675,149.517791,5859952,,
read,1000,1000,1,0,False,0,0,ledger-distinct,3,3,0,49.203917,46.752917,57.172958,22213056,,
noop,1000,1000,1,0,False,0,0,ledger-distinct,3,3,0,135.738708,126.042084,412.805917,52884704,,
edit,1000,1000,1,0,False,0,0,ledger-distinct,3,3,0,524.108291,519.52525,536.416833,54052240,,
new-revision,1000,1000,1,0,False,0,0,ledger-distinct,3,3,0,522.277459,510.382792,549.396542,54067712,,
read,10000,10000,1,0,False,0,0,ledger-distinct,3,3,0,232.167417,222.697375,237.185667,184742368,,
noop,10000,10000,1,0,False,0,0,ledger-distinct,3,3,0,1296.625333,1054.069625,1549.979958,529065704,,
edit,10000,10000,1,0,False,0,0,ledger-distinct,3,3,0,5645.059917,5090.582167,5677.576042,538473544,,
new-revision,10000,10000,1,0,False,0,0,ledger-distinct,3,3,0,4900.216834,4812.126584,4978.492333,538475736,,
read,10,1,1,0,False,0,0,ledger-shared,5,5,0,25.760708,25.522167,27.292334,400072,,
noop,10,1,1,0,False,0,0,ledger-shared,5,5,0,49.999875,47.407042,53.832458,737208,,
edit,10,1,1,0,False,0,0,ledger-shared,5,5,0,91.528333,85.003333,103.248167,821000,,
new-revision,10,1,1,0,False,0,0,ledger-shared,5,5,0,88.290417,85.35875,93.692042,824504,,
status,10,1,1,0,False,0,0,ledger-shared,5,5,0,26.418333,24.968292,27.424667,440896,,
codec-encode,10,1,1,0,False,0,0,ledger-shared,5,5,0,0.107375,0.099291,0.158625,218744,,
codec-decode,10,1,1,0,False,0,0,ledger-shared,5,5,0,0.192583,0.186709,0.577208,184400,,
read,100,1,1,0,False,0,0,ledger-shared,5,5,0,27.895416,26.475583,32.739542,2639112,,
noop,100,1,1,0,False,0,0,ledger-shared,5,5,0,49.906333,47.738542,55.096875,5236504,,
