experiment,operation,completed,sources,worker,sample,error,phase,count,total_ms,min_ms,max_ms
diagnostic-contention,read,100,100,5,1,,git:for-each-ref,1,8.625833,8.625833,8.625833
diagnostic-contention,read,100,100,5,1,,git:cat-file,2,19.533666,9.284458,10.249208
diagnostic-contention,read,100,100,5,1,,git:ls-tree,1,8.215958,8.215958,8.215958
diagnostic-contention,read,100,100,5,2,,git:for-each-ref,1,8.195083,8.195083,8.195083
diagnostic-contention,read,100,100,5,2,,git:cat-file,2,16.081209,7.842542,8.238667
diagnostic-contention,read,100,100,5,2,,git:ls-tree,1,7.132667,7.132667,7.132667
diagnostic-contention,read,100,100,5,3,,git:for-each-ref,1,9.110458,9.110458,9.110458
diagnostic-contention,read,100,100,5,3,,git:cat-file,2,17.588667,8.409334,9.179333
diagnostic-contention,read,100,100,5,3,,git:ls-tree,1,8.054459,8.054459,8.054459
diagnostic-contention,read,100,100,5,4,,git:for-each-ref,1,8.308666,8.308666,8.308666
diagnostic-contention,read,100,100,5,4,,git:cat-file,2,16.630459000000002,7.425125,9.205334
diagnostic-contention,read,100,100,5,4,,git:ls-tree,1,9.410792,9.410792,9.410792
diagnostic-contention,read,100,100,5,5,,git:for-each-ref,1,8.054708,8.054708,8.054708
diagnostic-contention,read,100,100,5,5,,git:cat-file,2,13.410042,5.683042,7.727
diagnostic-contention,read,100,100,5,5,,git:ls-tree,1,7.439708,7.439708,7.439708
diagnostic-contention,edit,100,100,1,1,,lock-wait,1,0.080834,0.080834,0.080834
diagnostic-contention,edit,100,100,1,1,,git:for-each-ref,2,19.401291999999998,8.579,10.822292
diagnostic-contention,edit,100,100,1,1,,git:cat-file,3,27.988542,8.336875,10.419667
diagnostic-contention,edit,100,100,1,1,,git:ls-tree,1,8.166459,8.166459,8.166459
diagnostic-contention,edit,100,100,1,1,,read,1,38.521625,38.521625,38.521625
diagnostic-contention,edit,100,100,1,1,,encode-before,1,1.661,1.661,1.661
diagnostic-contention,edit,100,100,1,1,,encode-after,1,0.578375,0.578375,0.578375
diagnostic-contention,edit,100,100,1,1,,git:rev-parse,100,771.2620490000003,6.263875,9.550125
diagnostic-contention,edit,100,100,1,1,,pins,1,796.632333,796.632333,796.632333
diagnostic-contention,edit,100,100,1,1,,git:hash-object,1,15.8895,15.8895,15.8895
diagnostic-contention,edit,100,100,1,1,,git:mktree,1,8.421791,8.421791,8.421791
diagnostic-contention,edit,100,100,1,1,,git:commit-tree,1,12.508416,12.508416,12.508416
diagnostic-contention,edit,100,100,1,1,,git:update-ref,1,44.852958,44.852958,44.852958
diagnostic-contention,edit,100,100,1,1,,lock-held,1,919.803,919.803,919.803
diagnostic-contention,edit,100,100,1,2,,lock-wait,1,0.05925,0.05925,0.05925
diagnostic-contention,edit,100,100,1,2,,git:for-each-ref,2,21.122293,8.175584,12.946709
diagnostic-contention,edit,100,100,1,2,,git:cat-file,3,24.655335000000004,7.671209,8.758584
diagnostic-contention,edit,100,100,1,2,,git:ls-tree,1,7.857667,7.857667,7.857667
diagnostic-contention,edit,100,100,1,2,,read,1,35.133,35.133,35.133
diagnostic-contention,edit,100,100,1,2,,encode-before,1,1.164333,1.164333,1.164333
diagnostic-contention,edit,100,100,1,2,,encode-after,1,0.94675,0.94675,0.94675
diagnostic-contention,edit,100,100,1,2,,git:rev-parse,100,760.1391650000004,5.982875,9.468375
diagnostic-contention,edit,100,100,1,2,,pins,1,787.183291,787.183291,787.183291
diagnostic-contention,edit,100,100,1,2,,git:hash-object,1,15.170875,15.170875,15.170875
diagnostic-contention,edit,100,100,1,2,,git:mktree,1,7.858,7.858,7.858
diagnostic-contention,edit,100,100,1,2,,git:commit-tree,1,11.830917,11.830917,11.830917
diagnostic-contention,edit,100,100,1,2,,git:update-ref,1,40.09725,40.09725,40.09725
diagnostic-contention,edit,100,100,1,2,,lock-held,1,900.502833,900.502833,900.502833
diagnostic-contention,edit,100,100,1,3,,lock-wait,1,0.046875,0.046875,0.046875
diagnostic-contention,edit,100,100,1,3,,git:for-each-ref,2,18.219791,7.135708,11.084083
diagnostic-contention,edit,100,100,1,3,,git:cat-file,3,23.605999999999998,6.94925,8.887417
diagnostic-contention,edit,100,100,1,3,,git:ls-tree,1,7.417083,7.417083,7.417083
diagnostic-contention,edit,100,100,1,3,,read,1,31.432334,31.432334,31.432334
diagnostic-contention,edit,100,100,1,3,,encode-before,1,1.373875,1.373875,1.373875
diagnostic-contention,edit,100,100,1,3,,encode-after,1,0.643875,0.643875,0.643875
diagnostic-contention,edit,100,100,1,3,,git:rev-parse,100,733.4095779999999,5.33575,11.130375
diagnostic-contention,edit,100,100,1,3,,pins,1,759.766333,759.766333,759.766333
