operation,completed,sources,active,history,packed,writers,readers,experiment,samples,successes,errors,median_ms,min_ms,max_ms,median_allocated_bytes,failure_ms,error_messages
cycle-all,10,1,1,0,False,0,0,active-all,3,3,0,1361.056916,1354.886,1389.512542,17283664,,
cycle-all,100,1,1,0,False,0,0,active-all,1,0,1,,,,,10000.303,"git for-each-ref: context deadline exceeded
signal: killed: "
observe,100,1,10,0,False,0,0,active-ten,3,3,0,2840.769959,2801.319041,2903.594375,190763440,,
observe,100,100,10,0,False,0,0,active-ten,3,3,0,27565.887875,27112.998833,27663.538375,270982824,,
read,100,100,1,0,False,1,1,contention-1,10,10,0,30.5373745,28.743125,33.522834,2653300.0,,
edit,100,100,1,0,False,1,1,contention-1,10,10,0,853.623834,833.484625,910.988167,7636540.0,,
read,1000,1000,1,0,False,2,1,contention-1000,4,4,0,62.824938,51.691958,65.037125,22217748.0,,
edit,1000,1000,1,0,False,2,1,contention-1000,8,4,4,8398.1168335,8380.48125,8505.442375,72051540.0,5001.148;5001.306;5001.074;5001.066,ledger: timed out waiting for writer lock: /private/var/folders/l6/xhprvp0x6_q4239mpj1zp3_40000gn/T/dockhand-ledgerperf-4030984868/ledger.lock: context deadline exceeded
read,100,100,1,0,False,2,1,contention-2,10,10,0,29.765271,27.82475,31.960667,2658528.0,,
edit,100,100,1,0,False,2,1,contention-2,20,19,1,892.408458,822.205042,4515.9225,7638416,5001.172,ledger: timed out waiting for writer lock: /private/var/folders/l6/xhprvp0x6_q4239mpj1zp3_40000gn/T/dockhand-ledgerperf-1578738376/ledger.lock: context deadline exceeded
read,100,100,1,0,False,4,1,contention-4,10,10,0,39.433458,31.81675,61.705083,2657568.0,,
edit,100,100,1,0,False,4,1,contention-4,40,31,9,914.300708,851.116625,5320.706666,7644624,5000.420;5000.532;5000.746;5000.382;5001.057;5000.370;5000.911;5000.706;5001.098,ledger: timed out waiting for writer lock: /private/var/folders/l6/xhprvp0x6_q4239mpj1zp3_40000gn/T/dockhand-ledgerperf-1223438321/ledger.lock: context deadline exceeded
read,100,100,1,0,False,4,1,diagnostic-contention,5,5,0,36.380125,30.536292,38.749,2660920,,
edit,100,100,1,0,False,4,1,diagnostic-contention,20,17,3,878.819375,851.719458,5334.023666,7668704,5001.113;5001.135;5001.064,ledger: timed out waiting for writer lock: /private/var/folders/l6/xhprvp0x6_q4239mpj1zp3_40000gn/T/dockhand-ledgerperf-1176330844/ledger.lock: context deadline exceeded
noop,1000,1000,1,0,False,0,0,diagnostic-distinct,1,1,0,7904.908542,7904.908542,7904.908542,87889328,,
edit,1000,1000,1,0,False,0,0,diagnostic-distinct,1,1,0,8291.681875,8291.681875,8291.681875,72089632,,
observe,1000,1000,1,0,False,0,0,diagnostic-distinct,1,1,0,33023.569917,33023.569917,33023.569917,386598360,,
cycle-all,10,1,0,0,False,0,0,diagnostic-idle,1,1,0,1162.58375,1162.58375,1162.58375,15899888,,
cycle-all,10,10,0,0,False,0,0,diagnostic-idle,1,1,0,2623.229208,2623.229208,2623.229208,20102048,,
read,1000,1,1,0,False,0,0,diagnostic-shared,1,1,0,51.773084,51.773084,51.773084,21938896,,
noop,1000,1,1,0,False,0,0,diagnostic-shared,1,1,0,103.383375,103.383375,103.383375,48413120,,
edit,1000,1,1,0,False,0,0,diagnostic-shared,1,1,0,156.3025,156.3025,156.3025,48493296,,
observe,1000,1,1,0,False,0,0,diagnostic-shared,1,1,0,669.358333,669.358333,669.358333,259997656,,
complete,1000,1,1,0,False,0,0,diagnostic-shared,1,1,0,894.801375,894.801375,894.801375,358985824,,
growth-edit,10,1,1,0,False,0,0,growth-10,100,100,0,98.653291,91.025166,124.897,801952.0,,
growth-edit,1000,1,1,0,False,0,0,growth-1000,100,100,0,154.356312,140.610959,278.491792,48480124.0,,
read,100,1,1,1000,False,0,0,history-1000,5,5,0,29.347209,28.658542,29.759958,2636336,,
noop,100,1,1,1000,False,0,0,history-1000,5,5,0,53.855,52.804042,56.7905,5230288,,
edit,100,1,1,1000,False,0,0,history-1000,5,5,0,98.410458,95.76425,99.251833,5317928,,
read,100,1,1,10000,True,0,0,history-10000-packed,5,5,0,30.219167,29.992125,31.486417,2631656,,
noop,100,1,1,10000,True,0,0,history-10000-packed,5,5,0,54.918125,54.611583,59.637041,5229272,,
edit,100,1,1,10000,True,0,0,history-10000-packed,5,5,0,99.241167,97.704083,101.446625,5314624,,
read,100,1,1,10000,False,0,0,history-10000,5,5,0,30.659916,29.074542,30.921791,2638984,,
noop,100,1,1,10000,False,0,0,history-10000,5,5,0,53.687042,52.742041,58.860916,5227672,,
edit,100,1,1,10000,False,0,0,history-10000,5,5,0,99.056375,95.659084,100.008125,5318168,,
cycle-all,10,10,0,0,False,0,0,idle-distinct,3,3,0,2566.184208,2501.302625,2644.165542,20132384,,
cycle-all,100,100,0,0,False,0,0,idle-distinct,1,0,1,,,,,10000.408,"git rev-parse: context deadline exceeded
signal: killed: "
cycle-all,100,1,0,0,False,0,0,idle-shared-100-complete,3,3,0,11605.317833,11400.275375,11677.124083,1059062632,,
cycle-all,10,1,0,0,False,0,0,idle-shared,3,3,0,1134.383458,1130.678958,1179.837042,15171296,,
cycle-all,100,1,0,0,False,0,0,idle-shared,1,0,1,,,,,10001.558,"git rev-parse: context deadline exceeded
signal: killed: "
